t_s,clean_gps_x_m,clean_gps_y_m,observed_gps_x_m,observed_gps_y_m,gps_jump_active,observed_gps_error_to_clean_m,reliability_score,effective_gps_std_m,reliability_kalman_x_m,reliability_kalman_y_m,reliability_kalman_vx_mps,reliability_kalman_vy_mps,reliability_kalman_speed_mps,gps_horizontal_accuracy_m,innovation_norm_m,innovation_gate_m,residual_norm_m,position_error_to_clean_gps_m,kalman_position_std_x_m,kalman_position_std_y_m,reliability_kalman_step_distance_m,reliability_kalman_cumulative_distance_m
0.0,0.0,0.0,0.0,0.0,False,0.0,1.0,11.27299976348877,0.0,0.0,0.0,0.0,0.0,11.27299976348877,0.0,45.09199905395508,0.0,0.0,3.044750574777699,3.044750574777699,0.0,0.0
2.997633056640625,-4.551029672001302,-5.915570096973188,-4.551029672001302,-5.915570096973188,False,0.0,1.0,8.887999534606934,-2.091003729919229,-2.717951766710883,-0.7353111934430059,-0.9557803884825711,1.2059016138186698,8.887999534606934,7.4636345467633705,35.551998138427734,4.034413293373187,4.034413293373187,6.024577471142637,6.024577471142637,3.4292212533901827,3.4292212533901827
3.790923828125001,-4.569758189363687,-7.728047401231342,-4.569758189363687,-7.728047401231342,False,0.0,1.0,8.317999839782715,-3.562224560331356,-5.467929154269089,-1.0036222725264508,-1.5576608103609426,1.8529880911774543,8.317999839782715,4.655234150754956,33.27199935913086,2.4745218737935586,2.4745218737935586,5.693080527454247,5.693080527454247,3.1187924528445308,6.5480137062347135
4.788760742187501,-4.073452484919385,-10.352247670233572,-4.073452484919385,-10.352247670233572,False,0.0,1.0,7.63100004196167,-4.321560528970879,-8.666880436801181,-0.9404270271131482,-1.9869382904018298,2.198255390801947,7.63100004196167,3.3659172935598307,30.52400016784668,1.7035317176532434,1.7035317176532434,5.362849591239997,5.362849591239997,3.2878382595990696,9.835851965833783
5.788987548828125,-3.970445640319779,-11.6087503418999,-3.970445640319779,-11.6087503418999,False,0.0,1.0,5.8480000495910645,-4.511871959205577,-11.208689161278638,-0.761793513804747,-2.1189310135848274,2.251710016411218,5.8480000495910645,1.6061336915790376,23.392000198364258,0.6731949249825813,0.6731949249825813,4.457004692894006,4.457004692894006,2.5489233084397998,12.384775274273583
6.031937744140626,-3.923624347211655,-11.808901209802713,-3.923624347211655,-11.808901209802713,False,0.0,1.0,6.078999996185303,-4.405806714917688,-11.755641957540828,-0.6919874972368285,-2.126641408022259,2.236392267614737,6.078999996185303,0.7780285624379083,24.31599998474121,0.48511481494393754,0.48511481494393754,3.7299606512122074,3.7299606512122074,0.557141990326414,12.941917264599997
6.670880126953126,-3.811253244228693,-12.053530048114824,-3.811253244228693,-12.053530048114824,False,0.0,1.0,6.251999855041504,-4.508187425083726,-12.766746268067806,-0.6072077824900693,-2.039881037615124,2.128336425177717,6.251999855041504,1.4833308942623502,25.007999420166016,0.9971933758545005,0.9971933758545005,3.5791467716567333,3.5791467716567333,1.0162744395980536,13.95819170419805
6.790715820312499,-3.895531571465914,-12.509429247462569,-3.895531571465914,-12.509429247462569,False,0.0,1.0,5.906000137329102,-4.388629000410033,-12.870404905114732,-0.5586866275057617,-2.0043607635224197,2.080767362801988,5.906000137329102,0.8494543407848727,23.624000549316406,0.6111043281214039,0.6111043281214039,3.1284629958347647,3.1284629958347647,0.15823820633741276,14.116429910535462
7.273615234375001,-3.801888985845336,-12.80965554931679,-3.801888985845336,-12.80965554931679,False,0.0,1.0,5.692999839782715,-4.418864787473638,-13.550616196325995,-0.49510098230127464,-1.927997216221421,1.9905522470995922,5.692999839782715,1.3385707880941562,22.77199935913086,0.9642000934511393,0.9642000934511393,3.0107273145677667,3.0107273145677667,0.6808829587459576,14.79731286928142
7.789001708984374,-3.773796210099596,-13.688095469321148,-3.773796210099596,-13.688095469321148,False,0.0,1.0,5.4670000076293945,-4.416306051507301,-14.299164507123665,-0.4243738402417813,-1.8607310611223402,1.9085107382739628,5.4670000076293945,1.2423680123782075,21.868000030517578,0.8866928810285153,0.8866928810285153,2.9251671951710123,2.9251671951710123,0.7485526840027964,15.545865553284216
7.832535888671876,-3.867438795720174,-13.821529381256358,-3.867438795720174,-13.821529381256358,False,0.0,1.0,5.290999889373779,-4.2995154828219,-14.246979177241395,-0.3870954057155186,-1.8240243772458598,1.8646468249813979,5.290999889373779,0.7962136700579802,21.163999557495117,0.6063808971599551,0.6063808971599551,2.5835004016799434,2.5835004016799434,0.1279192932625128,15.673784846546729
8.4737783203125,-3.79252472746198,-14.288548073736916,-3.79252472746198,-14.288548073736916,False,0.0,1.0,5.081999778747559,-4.342625449963966,-15.11024200084252,-0.327210978392885,-1.7345740852422398,1.765166927396608,5.081999778747559,1.3575326299310508,20.327999114990234,0.9888335121442016,0.9888335121442016,2.6484730157463607,2.6484730157463607,0.8643385747950731,16.5381234213418
8.789412353515624,-3.895531571465914,-14.955717633412968,-3.895531571465914,-14.955717633412968,False,0.0,1.0,4.935999870300293,-4.3041683474182095,-15.476944589409438,-0.2851528715502224,-1.6809278637207228,1.7049430029141885,4.935999870300293,0.8920399391065452,19.743999481201172,0.6623152982666434,0.6623152982666434,2.5048791656848075,2.5048791656848075,0.3687136249149102,16.90683704625671
8.993162353515626,-3.9517171229573953,-15.289302413250994,-3.9517171229573953,-15.289302413250994,False,0.0,1.0,4.61299991607666,-4.25969590570359,-15.686985336646329,-0.2543438027464719,-1.6411451214171382,1.6607372096592554,4.61299991607666,0.670515729214126,18.45199966430664,0.5029936760855823,0.5029936760855823,2.305764535709473,2.305764535709473,0.21469726028035732,17.121534306537068
