t_s,x_m,y_m,horizontalAccuracy,reported_speed_mps,computed_speed_mps,step_distance_m,distance_from_start_m,cumulative_distance_m
0.0,0.0,0.0,11.27299976348877,0.0,0.0,0.0,0.0,0.0
2.997633056640625,-4.551029672001302,-5.915570096973188,8.887999534606934,0.6237027645111084,2.4898426210737363,7.4636345467633705,7.4636345467633705,7.4636345467633705
3.790923828125001,-4.569758189363687,-7.728047401231342,8.317999839782715,0.2219108790159225,2.284879805354552,1.8125740635387828,8.97805137794026,9.276208610302152
4.788760742187501,-4.073452484919385,-10.352247670233572,7.63100004196167,0.406754195690155,2.676509723804057,2.670720203258914,11.12483918862436,11.946928813561065
5.788987548828125,-3.970445640319779,-11.6087503418999,5.8480000495910645,0.58823561668396,1.2604319267406299,1.2607178010716693,12.268965852234464,13.207646614632734
6.031937744140626,-3.9236243472116548,-11.808901209802713,6.078999996185303,0.589432418346405,0.846076210807682,0.205554380664987,12.443672118828593,13.413200995297721
6.670880126953126,-3.811253244228693,-12.053530048114824,6.251999855041504,0.9313487410545348,0.42132674836626893,0.2692035165437865,12.64172606539355,13.682404511841508
6.790715820312499,-3.8955315714659142,-12.509429247462567,5.906000137329102,0.9992871880531312,3.8688279487914228,0.46362367973154334,13.101945898283947,14.146028191573052
7.273615234375001,-3.8018889858453364,-12.80965554931679,5.692999839782715,1.007726788520813,0.6512562914450606,0.3144912815433374,13.361947281471908,14.460519473116388
7.789001708984374,-3.773796210099596,-13.688095469321148,5.4670000076293945,1.2231204509735107,1.70530088828724,0.8788890129625937,14.19878499775992,15.339408486078982
7.832535888671876,-3.867438795720174,-13.821529381256358,5.290999889373779,1.1667344570159912,3.7445045530892607,0.1630139340548554,14.352412942623072,15.502422420133838
8.4737783203125,-3.7925247274619798,-14.288548073736917,5.081999778747559,1.0660340785980225,0.7376133554138783,0.472988981636195,14.783296312524536,15.975411401770033
8.789412353515624,-3.8955315714659142,-14.955717633412968,4.935999870300293,1.010922074317932,2.138788807769619,0.6750745375660279,15.454729248830834,16.65048593933606
8.993162353515626,-3.9517171229573953,-15.289302413250994,4.61299991607666,0.9840680956840516,1.660286356057421,0.33828334504670154,15.79173316972261,16.988769284382762
9.792970458984374,-4.0359954501946165,-16.479088128949716,4.385000228881836,0.967561900615692,1.4913163484996825,1.1927669033481036,16.96613110982239,18.181536187730867
9.81459765625,-4.073452484919385,-16.5791635621938,4.276000022888184,0.9668343663215636,4.9407979482249464,0.10685561187585511,17.07224881405114,18.28839179960672
10.273771728515625,-4.129638036410865,-17.05730174709985,4.2170000076293945,0.9691619277000428,1.048465169881261,0.4814280216830494,17.55008413664695,18.769819821289772
10.791307373046875,-4.288830431906281,-17.724471306775904,4.131999969482422,0.9762479662895204,1.3253174127476905,0.685899001414865,18.235979534381137,19.455718822704636
11.035275146484375,-4.345015983397762,-18.01357811620463,3.83899998664856,0.981865406036377,1.2071914570616211,0.29451581189209547,18.53019590950372,19.750234634596733
11.495486572265625,-4.410565793868271,-18.480596807977868,3.815999984741211,0.950791358947754,1.0247387385888096,0.47159647593923515,18.999619706748938,20.22183111053597
11.788225830078124,-4.485479862722135,-18.858659558932512,3.5239999294281006,0.9314335584640504,1.316576044151451,0.3854134940186122,19.384750964575282,20.60724460455458
12.157347900390624,-4.551029672001302,-19.27008078787096,3.492000102996826,0.9333243370056152,1.1286520345952973,0.41661037567223125,19.800199106234,21.02385498022681
12.747392333984374,-4.625943740855168,-19.870533391579404,3.461999893188477,0.935793936252594,1.0255292032147958,0.6051077978447239,20.40189826362805,21.628962778071536
12.79258447265625,-4.6540365171965785,-19.981728317956303,3.4159998893737797,0.9274737238883972,2.537803721817203,0.11468877771836576,20.5165670246271,21.743651555789903
13.347540771484374,-4.71022206868806,-20.58218092166475,3.3949999809265137,0.9253735542297364,1.0867082205120633,0.6030755719614712,21.114269190016888,22.346727127751375
13.802817382812504,-4.822593171671022,-21.071438598996295,3.2799999713897705,0.905290424823761,1.102618368026896,0.501996354183439,21.616265392771226,22.848723481934815
14.107260986328123,-4.888142980950189,-21.39390388640883,3.246999979019165,0.9087409377098083,1.0808577761288625,0.32906023625254893,21.94522875941628,23.177783718187364
14.60833056640625,-4.963057049804053,-21.872042070607556,3.263000011444092,0.9043656587600708,0.9658764803081482,0.4839713223953432,22.42806633702595,23.661755040582708
14.796514404296873,-5.0754281527870155,-22.03883446123389,3.257999897003174,0.9154615998268129,1.0687119251006756,0.20111431166492125,22.615706828303498,23.86286935224763
15.188967529296876,-5.150342222236551,-22.394658225922903,3.260999917984009,0.9206989407539368,0.9265421238099507,0.3636243519333548,22.979267657217644,24.22649370418098
15.787572021484374,-5.346991651861064,-22.87279641012163,3.2249999046325684,0.8836452960968018,0.863672407872306,0.5169981831307552,23.489468604971567,24.743491887311738
15.889085449218749,-5.393812945564859,-22.939513366089237,3.2230000495910645,0.8811635375022888,0.8029180903434247,0.08150696754069943,23.565111745220516,24.82499885485244
16.596787841796875,-5.515548306335507,-23.64004140445641,3.2149999141693115,0.8781552314758301,1.004697386074384,0.7110267439418305,24.274942445326907,25.536025598794268
16.790072509765622,-5.65601218565988,-23.762355823966132,3.213000059127808,0.8639357089996338,0.963630404570558,0.18625498279200986,24.426216001442185,25.72228058158628
17.209831787109373,-5.787111806005226,-24.10706009622965,3.190000057220459,0.8647585511207581,0.8785817066917326,0.36879282228836074,24.791954532437188,26.09107340387464
17.8096142578125,-5.918211425754901,-24.629676251544996,3.1670000553131104,0.8634209036827087,0.8983401007445181,0.5388086451562418,25.33073585065889,26.62988204903088
18.393038330078127,-6.171046407466566,-25.185650884844147,3.1410000324249268,0.879108190536499,1.0468620802778745,0.6107645379761854,25.930654142469233,27.240646587007063
18.79306689453125,-6.348967320920036,-25.608191606208088,3.130000114440918,0.8902815580368042,1.1460979864526513,0.4584719322432691,26.38349604169957,27.699118519250334
19.071347900390627,-6.433245647561587,-25.88617892321132,3.130000114440918,0.8856627345085144,1.0438441031093326,0.2904819869736441,26.673599472256836,27.98960050622398
19.795043457031248,-6.583073785269317,-26.642304423705966,3.0850000381469727,0.9037030935287476,1.0651260458579062,0.7708269866495608,27.44356473688727,28.76042749287354
19.81899365234375,-6.60180230203603,-26.686782394822583,3.0850000381469727,0.9045937061309814,2.0150233852257506,0.048260203635414514,27.49123766264045,28.808687696508954
20.292908691406247,-6.676716370889895,-27.164920579021313,3.075000047683716,0.9006580114364624,1.021219591074263,0.4839713223953467,27.973406148730703,29.292659018904303
20.772117675781246,-6.732901922381376,-27.70977571989497,3.075999975204468,0.931853175163269,1.1430178267266853,0.5477444118682137,28.51602424503261,29.840403430772515
20.79526586914063,-6.732901922381376,-27.776492675862574,3.075999975204468,0.9326753616333008,2.882166868567342,0.0667169559676033,28.5808592185164,29.907120386740118
21.593641601562503,-6.826544508001954,-28.64381310344144,3.075999975204468,0.922968864440918,1.0926696945521643,0.8723609676832699,29.446047935582374,30.77948135442339
21.79750048828125,-6.826544508001954,-28.888441941753552,3.049999952316284,0.9268878698349,1.199991044048096,0.24462883831211357,29.684066226543113,31.024110192735503
22.134552490234377,-6.845273025364337,-29.27762418513369,3.0460000038146973,0.9330546259880066,1.1560014904241225,0.3896326166082474,30.067208728408858,31.41374280934375
22.790485107421873,-6.83590876698098,-30.067108164319457,3.0390000343322754,0.9378816485404968,1.203689971193445,0.7895395130872578,30.83440678909476,32.20328232243101
22.820848388671877,-6.826544508001954,-30.13382512028706,3.013999938964844,0.9381303787231444,2.218828875139342,0.06737092518148606,30.897396756033917,32.27065324761249
23.41429150390625,-6.826544508001954,-30.74539721712832,3.006999969482422,0.903633713722229,1.0305488110679812,0.611572096841261,31.49414485199961,32.88222534445376
23.794168457031247,-6.7703589565104725,-31.167937938492262,3.006999969482422,0.8971886038780212,1.122099846379177,0.42625987074455096,31.894797628103973,33.30848521519831
24.035383544921878,-6.742266181360403,-31.42368626993719,3.00600004196167,0.907419979572296,1.0666274577895383,0.25728663597726303,32.13885828793169,33.565771851175576
