t_s,t_raw_s,x_m,y_m,horizontalAccuracy,gps_bearing,gps_speed_mps,orientation_yaw,orientation_roll,orientation_pitch,compass_bearing,gyro_z,gyro_y,gyro_x,acc_z,acc_y,acc_x
0.0,4.616171630859375,0.0,0.0,11.27299976348877,0.0,0.0,2.6996512413024902,0.0163683257997035,-0.1048395410180091,157.33208970421742,0.0278292130678892,0.012649642303586,-0.0233019720762968,0.1552190780639648,-0.0501695871353149,0.0116627216339111
2.997633056640625,7.6138046875,-4.551029672001302,-5.915570096973188,8.887999534606934,314.0204467773437,0.6237027645111084,2.63935923576355,0.036939401179552,-0.1338468641042709,157.23655852389587,0.6627081036567688,0.2480661422014236,0.1258306503295898,-2.013326644897461,-0.5779480934143066,-0.2924263179302215
3.790923828125001,8.407095458984376,-4.569758189363687,-7.728047401231342,8.317999839782715,320.3607788085937,0.2219108790159225,2.6174123287200928,0.0241836700588464,-0.1428844779729843,147.87799030306502,-0.1042596846818924,-0.1173087880015373,-0.2736317217350006,-0.650604248046875,-0.0448423624038696,0.2532569468021393
4.788760742187501,9.404932373046876,-4.073452484919385,-10.352247670233572,7.63100004196167,192.7989654541016,0.406754195690155,2.433727502822876,-0.0172237362712621,-0.1096334308385849,133.45850505578568,-0.5260919332504272,-0.14926578104496,-0.3481980562210083,1.088780403137207,-0.6377758383750916,1.7674891948699951
5.788987548828125,10.4051591796875,-3.970445640319779,-11.6087503418999,5.8480000495910645,186.6221466064453,0.58823561668396,2.385286569595337,-0.0259297788143157,-0.0971640050411224,136.70617699394506,0.1119826212525367,0.0765636265277862,0.0406120084226131,1.098428726196289,-0.352485179901123,-0.3739356994628906
6.031937744140626,10.648109375,-3.9236243472116548,-11.808901209802713,6.078999996185303,186.60633850097656,0.589432418346405,2.411391258239746,-0.0382281579077243,-0.0795831680297851,139.28153683589676,-0.4067858755588531,0.2651098668575287,-0.1649779677391052,0.4837989807128906,-1.3317179679870603,1.3671212196350098
6.670880126953126,11.2870517578125,-3.811253244228693,-12.053530048114824,6.251999855041504,123.29512786865234,0.9313487410545348,2.50009560585022,0.0171388443559408,-0.1098673492670059,154.56895552516414,0.35805144906044,0.1479342430830001,0.2952027022838592,0.1151390075683593,-1.029671549797058,-0.3872394561767578
6.790715820312499,11.406887451171874,-3.8955315714659142,-12.509429247462567,5.906000137329102,117.62442016601562,0.9992871880531312,2.486158847808838,-0.0134143289178609,-0.1118772402405738,153.6769851240713,-0.0158453416079282,-0.1205044835805893,-0.2086525112390518,-0.005197525024414,-0.8301572799682617,0.0386614203453063
7.273615234375001,11.889786865234376,-3.8018889858453364,-12.80965554931679,5.692999839782715,113.79650115966795,1.007726788520813,2.5934717655181885,-0.0307158771902322,-0.0693318247795105,156.7668008899111,-0.1745650619268417,0.4856131076812744,0.0853517949581146,-0.2155380249023437,-1.2893202304840088,0.0411449074745178
7.789001708984374,12.40517333984375,-3.773796210099596,-13.688095469321148,5.4670000076293945,140.65618896484375,1.2231204509735107,2.65784239768982,-0.0128286322578787,-0.0970573648810386,163.6065431368993,0.0352858453989028,-0.2003969699144363,-0.0062582441605627,1.0515718460083008,-0.0771966576576232,-0.3630256056785583
7.832535888671876,12.44870751953125,-3.867438795720174,-13.821529381256358,5.290999889373779,145.26214599609375,1.1667344570159912,2.6588122844696045,-0.0242163129150867,-0.0903721526265144,162.1042118657846,0.066177599132061,-0.4411396384239197,-0.2640446424484253,0.5937719345092773,-1.2197480201721191,0.5512111783027649
8.4737783203125,13.089949951171874,-3.7925247274619798,-14.288548073736917,5.081999778747559,152.09030151367188,1.0660340785980225,2.697915554046631,-0.0632901340723037,-0.0573185719549655,159.11330772524198,-0.534613847732544,0.4259600639343261,-0.1170424818992614,0.9308919906616212,-1.7473207712173462,0.234384000301361
8.789412353515624,13.405583984375,-3.8955315714659142,-14.955717633412968,4.935999870300293,164.06553649902344,1.010922074317932,2.74080491065979,-0.0047023589722812,-0.0672285556793212,164.25340545290342,-0.0446066334843635,-0.1407439112663269,-0.0030625448562204,0.3373737335205078,0.8439965844154358,1.7235534191131592
8.993162353515626,13.609333984375,-3.9517171229573953,-15.289302413250994,4.61299991607666,169.28579711914062,0.9840680956840516,2.774569511413574,-0.0106916008517146,-0.0874012634158134,164.3879033624868,-0.2043915838003158,-0.3974650800228119,-0.0456718653440475,1.876112937927246,0.136154294013977,-0.2369755506515503
9.792970458984374,14.40914208984375,-4.0359954501946165,-16.479088128949716,4.385000228881836,177.75015258789062,0.967561900615692,2.7786450386047363,-0.0810826197266578,-0.0895421504974365,154.86206969229312,-0.1788259893655777,-0.1194392517209053,0.2248973250389099,-2.1366028785705566,-0.3278534412384033,0.316790759563446
9.81459765625,14.430769287109374,-4.073452484919385,-16.5791635621938,4.276000022888184,179.44430541992188,0.9668343663215636,2.782637596130371,-0.0833221822977066,-0.0923094153404235,154.21680995775716,-0.2629793882369995,-0.1098521575331687,0.1045259907841682,-1.420088768005371,-0.5888997912406921,-0.1161648631095886
10.273771728515625,14.889943359375,-4.129638036410865,-17.05730174709985,4.2170000076293945,181.30126953125,0.9691619277000428,2.6913087368011475,-0.0134046226739883,-0.078081265091896,150.57662017891127,0.2643109560012817,-0.3250292241573334,-0.4067858755588531,-0.2534952163696289,-0.1123948693275451,1.1930663585662842
10.791307373046875,15.40747900390625,-4.288830431906281,-17.724471306775904,4.131999969482422,184.47808837890625,0.9762479662895204,2.581700325012207,-0.0619498752057552,-0.0888546183705329,143.47898007352848,-0.139412373304367,-0.3069202601909637,-0.1031944528222084,2.07772159576416,-0.29874187707901,0.6731211543083191
11.035275146484375,15.65144677734375,-4.345015983397762,-18.01357811620463,3.83899998664856,184.7486572265625,0.981865406036377,2.6625421047210693,-0.050440639257431,-0.0764704346656799,147.02678981100595,-0.2757622003555298,0.1820216923952102,0.3314206302165985,-2.421934127807617,-0.2860320806503296,0.0689727962017059
11.495486572265625,16.111658203125,-4.410565793868271,-18.480596807977868,3.815999984741211,183.3631134033203,0.950791358947754,2.72981333732605,-0.0159565508365631,-0.1006822362542152,156.18218909331344,0.0810908675193786,-0.2312887161970138,-0.2693707942962646,1.7080316543579102,-0.4113444089889526,-0.0391652584075927
11.788225830078124,16.4043974609375,-4.485479862722135,-18.858659558932512,3.5239999294281006,184.15921020507807,0.9314335584640504,2.606498956680298,-0.0404107421636581,-0.1018054112792015,152.55250209720472,0.3346163332462311,-0.1034607589244842,0.0246335137635469,-1.1854324340820312,0.2520798444747925,-0.5250436067581177
12.157347900390624,16.77351953125,-4.551029672001302,-19.27008078787096,3.492000102996826,185.38092041015625,0.9333243370056152,2.626525640487671,-0.0699153691530227,-0.1149887666106224,154.45632151561304,-0.2885449826717376,-0.3463338911533355,-0.1276948153972625,1.2446346282958984,-0.8480293154716492,1.9276556968688965
12.747392333984374,17.36356396484375,-4.625943740855168,-19.870533391579404,3.461999893188477,185.70481872558597,0.935793936252594,2.788961410522461,-0.0426794067025184,-0.1105405017733573,168.44209120304623,0.0075897853821516,-0.1322220563888549,-0.1330209672451019,-0.0821208953857421,-0.3004947900772095,-0.0831270515918731
12.79258447265625,17.408756103515625,-4.6540365171965785,-19.981728317956303,3.4159998893737797,185.89170837402344,0.9274737238883972,2.788740396499634,-0.051467265933752,-0.0957966148853302,168.25403537150044,0.1588528752326965,-0.1503310054540634,-0.244870439171791,1.763596534729004,-1.0161441564559937,-0.9606550335884094
