t_s,gps_x_m,gps_y_m,dropout_active,gps_update_used,dropout_kalman_x_m,dropout_kalman_y_m,dropout_kalman_vx_mps,dropout_kalman_vy_mps,dropout_kalman_speed_mps,gps_horizontal_accuracy_m,innovation_norm_m,residual_norm_m,position_error_to_gps_m,kalman_position_std_x_m,kalman_position_std_y_m,dropout_kalman_step_distance_m,dropout_kalman_cumulative_distance_m
0.0,0.0,0.0,False,True,0.0,0.0,0.0,0.0,0.0,11.27299976348877,0.0,0.0,0.0,3.044750574777699,3.044750574777699,0.0,0.0
2.997633056640625,-4.551029672001302,-5.915570096973188,False,True,-2.091003729919229,-2.717951766710883,-0.7353111934430059,-0.9557803884825711,1.2059016138186698,8.887999534606934,7.4636345467633705,4.034413293373187,4.034413293373187,6.024577471142637,6.024577471142637,3.4292212533901827,3.4292212533901827
3.790923828125001,-4.569758189363687,-7.728047401231342,False,True,-3.562224560331356,-5.467929154269089,-1.0036222725264508,-1.5576608103609426,1.8529880911774543,8.317999839782715,4.655234150754956,2.4745218737935586,2.4745218737935586,5.693080527454247,5.693080527454247,3.1187924528445308,6.5480137062347135
4.788760742187501,-4.073452484919385,-10.352247670233572,False,True,-4.321560528970879,-8.666880436801181,-0.9404270271131482,-1.9869382904018298,2.198255390801947,7.63100004196167,3.3659172935598307,1.7035317176532434,1.7035317176532434,5.362849591239997,5.362849591239997,3.2878382595990696,9.835851965833783
5.788987548828125,-3.970445640319779,-11.6087503418999,False,True,-4.511871959205577,-11.208689161278638,-0.761793513804747,-2.1189310135848274,2.251710016411218,5.8480000495910645,1.6061336915790376,0.6731949249825813,0.6731949249825813,4.457004692894006,4.457004692894006,2.5489233084397998,12.384775274273583
6.031937744140626,-3.923624347211655,-11.808901209802713,False,True,-4.405806714917688,-11.755641957540828,-0.6919874972368285,-2.126641408022259,2.236392267614737,6.078999996185303,0.7780285624379083,0.48511481494393754,0.48511481494393754,3.7299606512122074,3.7299606512122074,0.557141990326414,12.941917264599997
6.670880126953126,-3.811253244228693,-12.053530048114824,False,True,-4.508187425083726,-12.766746268067806,-0.6072077824900693,-2.039881037615124,2.128336425177717,6.251999855041504,1.4833308942623502,0.9971933758545005,0.9971933758545005,3.5791467716567333,3.5791467716567333,1.0162744395980536,13.95819170419805
6.790715820312499,-3.895531571465914,-12.509429247462569,False,True,-4.388629000410033,-12.870404905114732,-0.5586866275057617,-2.0043607635224197,2.080767362801988,5.906000137329102,0.8494543407848727,0.6111043281214039,0.6111043281214039,3.1284629958347647,3.1284629958347647,0.15823820633741276,14.116429910535462
7.273615234375001,-3.801888985845336,-12.80965554931679,False,True,-4.418864787473638,-13.550616196325995,-0.49510098230127464,-1.927997216221421,1.9905522470995922,5.692999839782715,1.3385707880941562,0.9642000934511393,0.9642000934511393,3.0107273145677667,3.0107273145677667,0.6808829587459576,14.79731286928142
7.789001708984374,-3.773796210099596,-13.688095469321148,False,True,-4.416306051507301,-14.299164507123665,-0.4243738402417813,-1.8607310611223402,1.9085107382739628,5.4670000076293945,1.2423680123782075,0.8866928810285153,0.8866928810285153,2.9251671951710123,2.9251671951710123,0.7485526840027964,15.545865553284216
7.832535888671876,-3.867438795720174,-13.821529381256358,False,True,-4.2995154828219,-14.246979177241395,-0.3870954057155186,-1.8240243772458598,1.8646468249813979,5.290999889373779,0.7962136700579802,0.6063808971599551,0.6063808971599551,2.5835004016799434,2.5835004016799434,0.1279192932625128,15.673784846546729
8.4737783203125,-3.79252472746198,-14.288548073736916,False,True,-4.342625449963966,-15.11024200084252,-0.327210978392885,-1.7345740852422398,1.765166927396608,5.081999778747559,1.3575326299310508,0.9888335121442016,0.9888335121442016,2.6484730157463607,2.6484730157463607,0.8643385747950731,16.5381234213418
8.789412353515624,-3.895531571465914,-14.955717633412968,False,True,-4.3041683474182095,-15.476944589409438,-0.2851528715502224,-1.6809278637207228,1.7049430029141885,4.935999870300293,0.8920399391065452,0.6623152982666434,0.6623152982666434,2.5048791656848075,2.5048791656848075,0.3687136249149102,16.90683704625671
8.993162353515626,-3.9517171229573953,-15.289302413250994,False,True,-4.25969590570359,-15.686985336646329,-0.2543438027464719,-1.6411451214171382,1.6607372096592554,4.61299991607666,0.670515729214126,0.5029936760855823,0.5029936760855823,2.305764535709473,2.305764535709473,0.21469726028035732,17.121534306537068
9.792970458984374,-4.0359954501946165,-16.479088128949716,False,True,-4.330269625591248,-16.8376918743886,-0.21315679232241871,-1.590954457620056,1.6051703661400898,4.385000228881836,0.6733169917024224,0.46389000479441617,0.46389000479441617,2.445547797522696,2.445547797522696,1.1528686767978336,18.2744029833349
9.81459765625,-4.073452484919385,-16.5791635621938,False,True,-4.2697902661613965,-16.7991653820187,-0.19294173719743202,-1.5683029389606096,1.5801267741245475,4.276000022888184,0.39262674089239574,0.2948717095099226,0.2948717095099226,2.133621215463702,2.133621215463702,0.0717080437006416,18.346111027035544
10.273771728515625,-4.129638036410865,-17.05730174709985,False,True,-4.299930374358797,-17.40123317050945,-0.17396964493728106,-1.5299858967805495,1.539844888846596,4.2170000076293945,0.5155166186961593,0.3837815842016476,0.3837815842016476,2.131733506406103,2.131733506406103,0.6028217382114661,18.94893276524701
10.791307373046877,-4.288830431906281,-17.724471306775904,False,True,-4.362430853385913,-18.065479257208544,-0.1648797481485893,-1.4878702809832427,1.4969780574152367,4.131999969482422,0.47937400412182646,0.3488602073900799,0.3488602073900799,2.1560125374337744,2.1560125374337744,0.6671800158680413,19.616112781115053
11.035275146484375,-4.345015983397762,-18.01357811620463,False,True,-4.387065431235462,-18.316249511266573,-0.15970818319549535,-1.4506454216926288,1.459410443726298,3.83899998664856,0.4188783169801597,0.3055783523945992,0.3055783523945992,1.9965907636438762,1.9965907636438762,0.2519773457002711,19.868090126815325
11.495486572265625,-4.410565793868271,-18.480596807977868,False,True,-4.446999954044847,-18.84731732342346,-0.15517470076790868,-1.4050145905014928,1.4135576349341004,3.815999984741211,0.5057339433071195,0.36852596174008373,0.36852596174008373,1.9876366702722594,1.9876366702722594,0.534439115459836,20.40252924227516
